1,Dr. Alexandra Long MD,Grantchester,11,265773
2,Brittney Lee,New Caitlyn,17,477711
3,Brent Diaz,West Jasmine,16,54784
4,Mercedes Brown DVM,Adamsfort,17,443353
5,Drew Harris,Smithville,16,34084
6,Samuel Lopez,Brownborough,40,96798
7,Patricia Dawson,Stephanieside,6,184591
8,Michael Wilson,North Heather,19,371174
9,Anthony Mccarthy,Stephanieberg,31,373628
10,Charles Roberts,Adambury,27,340076
11,Connie Phillips,Alexisborough,2,44054
12,David Curry,West Stephanie,9,340601
13,Lisa Richardson,Craigside,31,114590
14,Donna Lowe,Shannonfort,17,103983
15,Michelle Smith,East Seanmouth,38,370297
16,Jon Brady,Port Hannahshire,7,272488
17,Jose Allen,Kimstad,8,298792
18,Lisa Davis,Taylormouth,5,491432
19,Tara Hoffman,Jordantown,29,51008
20,Maria Lynch,South Paul,35,41036
21,Jason Robinson,New Timothy,12,469596
22,Christine Rodriguez,East Matthewstad,35,270240
23,Emily Soto,New Barry,34,156011
24,Ashley Buchanan,Ryanchester,24,86616
25,David Haynes,Stevenstad,23,280651
26,Derek Cunningham,East Ashleymouth,7,392678
27,Erik Silva,East John,34,298405
28,Danielle Robinson,New Robertmouth,6,130584
29,Blake Chapman,Gregoryland,38,433752
30,Molly Tyler,East Kyle,38,340190
31,Linda Spence,Wendyville,23,393647
32,Daniel Howard,Whitakerside,33,186881
33,Rodney Cervantes,North Stephen,18,242335
34,Bryan Arroyo,East Matthewborough,5,315554
35,Deborah Ramos,Jamesview,22,325679
36,Theodore Kennedy,Lake Calebfurt,3,16761
37,Robert Rogers,East Jasmineborough,26,28050
38,Alan Sanchez,Danielleburgh,17,410934
39,Mary Davis,South Michaelberg,35,353718
40,Samantha Sanchez,New Tracy,10,399234
41,Jeffrey Lozano,Melissaville,15,495606
42,Mary Mccullough,New Sharonmouth,29,93223
43,Shannon Carroll,South Cynthiaburgh,21,318164
44,Wesley Tucker,West Jared,3,13932
45,Mike Hoover,Meyerston,8,52732
46,David Donovan,Port Mary,13,469678
47,Melissa Smith,Garciaborough,8,162822
48,Erin Berg,Mitchellside,23,235510
49,Joseph King,Port Ericview,2,264943
50,Jason Browning,Conniemouth,12,18386
51,Keith Terry,North Connie,33,233752
52,Jacob Stone,Hensontown,6,121669
53,Ariel Spears,Justinland,8,269483
54,Derek Lynch,Bennettberg,29,108238
55,Rebecca Bridges,South Vincentview,36,334791
56,Tony Peters,Andrewtown,11,430001
57,Shelly Castro,Ramirezfurt,4,303012
58,Ryan Lowe,Matthewshire,37,140631
59,Susan Williams,Clarkshire,5,289435
60,William Lyons,Cathyside,34,213228
61,Brooke Myers,Abbottview,1,232793
62,James Phillips,South Katrina,17,43574
63,Julia Lee,Port Cherylberg,27,358554
64,Lisa Williams,Port Scottborough,11,131339
65,Steven Christensen,Robertview,8,166557
66,Cesar Mcdonald,Lake Normaland,32,351650
67,Justin Simon,Lake Gregorymouth,5,457477
68,Karen Valdez,Lake David,11,54020
69,Keith Jones,West Kimberlyville,13,302176
70,Janet Peterson,Andrewshire,20,37406
71,Andrew Moore,New Elijah,1,483026
72,Christine Whitaker,Millerside,4,128525
73,Sarah Bennett,Mendozachester,14,241542
